iter	Passed	Remaining
0	1	117
1	2	114
2	4	129
3	5	124
4	7	140
5	8	140
6	10	140
7	11	134
8	13	133
9	14	134
10	16	134
11	18	133
12	19	131
13	21	133
14	23	134
15	25	133
16	27	132
17	28	131
18	30	131
19	32	130
20	34	128
21	35	125
22	37	125
23	39	124
24	40	121
25	42	121
26	44	121
27	46	119
28	48	118
29	49	116
30	51	114
31	53	114
32	55	111
33	57	110
34	58	109
35	61	108
36	62	106
37	64	104
38	66	103
39	67	101
40	69	99
41	70	96
42	71	95
43	73	93
44	75	92
45	77	91
46	79	90
47	81	88
48	83	86
49	85	85
50	86	83
51	87	80
52	89	79
53	90	77
54	91	75
55	92	73
56	94	70
57	95	69
58	97	67
59	99	66
60	100	64
61	102	62
62	103	60
63	105	59
64	107	57
65	108	55
66	109	54
67	111	52
68	113	50
69	115	49
70	116	47
71	117	45
72	119	44
73	121	42
74	122	40
75	123	39
76	125	37
77	126	35
78	129	34
79	130	32
80	131	30
81	133	29
82	134	27
83	136	25
84	137	24
85	138	22
86	139	20
87	141	19
88	142	17
89	144	16
90	145	14
91	146	12
92	147	11
93	148	9
94	150	7
95	151	6
96	152	4
97	153	3
98	154	1
99	155	0
